"Siena University",,,,,,,,,,,,,,,
"There were: 515 possible respondents.",,,,,,,,,,,,,,,
Order,Question Text,N,Avg,SD,CSIS Avg,School Avg,Siena Avg,Str Disagree,Disagree,Some Disagree,Neither,Some Agree,Agree,Str Agree,Neutral
The documents with explanation of what functions there are and how to use them,,,,,,,,,,,,,,,
The small in class activities we would do towards the end of classes were helpful,,,,,,,,,,,,,,,
In class group activities using whiteboards.,,,,,,,,,,,,,,,
Lectures and labs for sure,,,,,,,,,,,,,,,
Working on the labs outside of class and being in my own really helped me understand the topics ,,,,,,,,,,,,,,,
"As annoying as the readings were, It helped a lot",,,,,,,,,,,,,,,
The explanations during the labs really helped,,,,,,,,,,,,,,,
The handouts. ,,,,,,,,,,,,,,,
In class practice,,,,,,,,,,,,,,,
Labs helped a lot. ,,,,,,,,,,,,,,,
Mainly the labs,,,,,,,,,,,,,,,
Activities like the marshmallow and paper airplane games showed me how to better navigate a sprint cycle.,,,,,,,,,,,,,,,
Lecture being about what we are going to do in the lab,,,,,,,,,,,,,,,
My educator videos,,,,,,,,,,,,,,,
Hands on activities were the best. ,,,,,,,,,,,,,,,
"Typically one on one conversations would provide the most help, but I also found the hands on activities in class to be beneficial ",,,,,,,,,,,,,,,
The zybooks and labs. ,,,,,,,,,,,,,,,
Zybooks and the resources provided by the professor.,,,,,,,,,,,,,,,
"Labs, printouts.",,,,,,,,,,,,,,,
The printouts of the notes.,,,,,,,,,,,,,,,
"Collaboration and psychological safety between classmates are always a big help. Additionally, I liked the Marshmallow Challenge and Tinker Toys activities.",,,,,,,,,,,,,,,
The in-class walk-throughs and/or step-by-step labs,,,,,,,,,,,,,,,
The in class work,,,,,,,,,,,,,,,
The lab work,,,,,,,,,,,,,,,
I didn't use the book but the notes and being in class was really helpful,,,,,,,,,,,,,,,
The lecture notes helped.,,,,,,,,,,,,,,,
The prelab activities were useful to learning the material. ,,,,,,,,,,,,,,,
n/a,,,,,,,,,,,,,,,
The interactive activities really helped me learn the material. ,,,,,,,,,,,,,,,
labs,,,,,,,,,,,,,,,
Labs and projects.,,,,,,,,,,,,,,,
The labs and the projects helped me learn the best.,,,,,,,,,,,,,,,
Just the fun stuff in class and nice slides,,,,,,,,,,,,,,,
Lecture,,,,,,,,,,,,,,,
"Lectures were full of information at all times, did make it hard to follow though during some lecture",,,,,,,,,,,,,,,
yes it has,,,,,,,,,,,,,,,
Zybooks ,,,,,,,,,,,,,,,
Zybooks,,,,,,,,,,,,,,,
MyEducator was very helpful ,,,,,,,,,,,,,,,
Talking with my group and using agile methodologies ,,,,,,,,,,,,,,,
The labs,,,,,,,,,,,,,,,
The lectures and practicing the ideas we learned in lab. Office hours definitely helped ,,,,,,,,,,,,,,,
Checkpoints,,,,,,,,,,,,,,,
The lectures during the week,,,,,,,,,,,,,,,
"The prelabs were some of the most helpful, they *usually* didnt take all that long to complete and you were able to take multiple attempts to fix your errors based on instant feedback. ",,,,,,,,,,,,,,,
In class labs and prelabs,,,,,,,,,,,,,,,
Labs,,,,,,,,,,,,,,,
"Textbook, guided homework. ",,,,,,,,,,,,,,,
The textbook,,,,,,,,,,,,,,,
Examples of how to use certain functions.,,,,,,,,,,,,,,,
The checkins from Dr. Cotler and Dr. Chaudhari really helped us out in getting us together.,,,,,,,,,,,,,,,
The lectures were simple and nice and I liked the demos done for them.,,,,,,,,,,,,,,,
"Zoom calls to direct us on what to do next, usage of read me's to instruct the student, and encouraging collaboration and teaching how to do it in the best way for one of the labs.",,,,,,,,,,,,,,,
Lectures,,,,,,,,,,,,,,,
"Interactive activities, lectures, labs, demonstrations, ",,,,,,,,,,,,,,,
everything we did helped,,,,,,,,,,,,,,,
hands on ,,,,,,,,,,,,,,,
The pre lab activities,,,,,,,,,,,,,,,
The Lab Checkpoints helped me to develop my skills and learn the course material.,,,,,,,,,,,,,,,
The test your skills and checkpoints and myeducator,,,,,,,,,,,,,,,
Any activity that involved practical application went great lengths to etch the material into memory. I found that working on the whiteboards was a great method of practice which initially surprised me.,,,,,,,,,,,,,,,
checkpoints and homework assignments,,,,,,,,,,,,,,,
Whiteboard visuals,,,,,,,,,,,,,,,
watching the videos that explained how to do something,,,,,,,,,,,,,,,
"Group activities helped me learn the best, although good reading materials to take home was always apreciated.",,,,,,,,,,,,,,,
"The in class labs helped me the most, because when I needed help the teacher was very clear and concise.",,,,,,,,,,,,,,,
Outside of class assignments,,,,,,,,,,,,,,,
The practice exams were the most helpful to succeeding on tests.,,,,,,,,,,,,,,,
The notes and in class activities ,,,,,,,,,,,,,,,
practice homework and textbook,,,,,,,,,,,,,,,
Office Hours ,,,,,,,,,,,,,,,
Class time was helpful to complete homework. ,,,,,,,,,,,,,,,
Office hours and the homework,,,,,,,,,,,,,,,
The labs made learning the work fun and was a hand on experience.,,,,,,,,,,,,,,,
I learned through the textbook and the professor for this course.,,,,,,,,,,,,,,,
The labs and activities in class.,,,,,,,,,,,,,,,
Practice assignments that tell you what you got wrong,,,,,,,,,,,,,,,
"MyEducator, office hours, tutor sessions",,,,,,,,,,,,,,,
The excel assignments ,,,,,,,,,,,,,,,
Class worksheets ,,,,,,,,,,,,,,,
